Date,Site H500 DC Energy (kWh),H500 AC Energy Expected (kWh),H500 AC Energy (kWh),H500 Downtime Loss (kWh),H500 Shading Loss (kWh),H500 Soiling Loss (kWh),H500 clipping_loss,H500 clipping_loss_pct,Site H600 DC Energy (kWh),H600 AC Energy Expected (kWh),H600 AC Energy (kWh),H600 Downtime Loss (kWh),H600 Shading Loss (kWh),H600 Soiling Loss (kWh),H600 clipping_loss,H600 clipping_loss_pct,Site H700 DC Energy (kWh),H700 AC Energy Expected (kWh),H700 AC Energy (kWh),H700 Downtime Loss (kWh),H700 Shading Loss (kWh),H700 Soiling Loss (kWh),H700 clipping_loss,H700 clipping_loss_pct,Site H800 DC Energy (kWh),H800 AC Energy Expected (kWh),H800 AC Energy (kWh),H800 Downtime Loss (kWh),H800 Shading Loss (kWh),H800 Soiling Loss (kWh),H800 clipping_loss,H800 clipping_loss_pct,SB DC Energy (kWh),SB AC Energy Expected (kWh),SB AC Energy (kWh),SB Downtime Loss (kWh),SB Shading Loss (kWh),SB Soiling Loss (kWh),SB clipping_loss,SB clipping_loss_pct,STAAC DC Energy (kWh),STAAC AC Energy Expected (kWh),STAAC AC Energy (kWh),STAAC Downtime Loss (kWh),STAAC Shading Loss (kWh),STAAC Soiling Loss (kWh),STAAC clipping_loss,STAAC clipping_loss_pct
03/26/19,307.57325,1992.841457,301.8428333,1701.222065,0,0,0,0,255.5563333,1669.273975,250.0308333,1445.687457,0,0,0,0,365.8303333,2327.517109,359.1825,2014.3238,0,0,0,0,194.87,1254.487981,190.8565833,1083.766245,0,0,0,0,143.0066667,955.9342475,140.01625,826.7795033,0,0,0,0,500.0616667,1610.004646,489.6323333,1060.987974,0,0,0,0
03/27/19,2245.30925,2198.00116,2204.467167,33.01913431,0,57.3740513,0,0,1874.883333,1790.206414,1838.247667,0,0,41.57582823,0,0,2663.118167,2518.335308,2620.19175,0,0,60.14980625,0,0,1413.491583,1362.093121,1386.293417,0,0.146405102,31.01437204,0,0,1081.35025,1035.294686,1059.8775,0,0,23.47084799,0,0,1798.444333,1713.217246,1762.299917,0,1.531317712,26.30856317,0,0
03/28/19,1196.13075,1205.966507,1172.024333,22.45020072,0,9.403361798,0,0,1006.794167,1001.753402,984.8523333,3.676599927,0,13.83263367,0,0,1438.71625,1425.904214,1412.90075,5.136082337,0,12.74150883,0,0,754.8915833,751.6013013,738.7270833,2.792966868,0,7.073929362,0,0,577.03525,566.3825017,564.846,2.074887182,0,1.264008872,0,0,953.867,961.6227588,932.706,3.666404054,0,17.96575413,0,0
03/29/19,1757.606583,1810.343182,1727.589917,25.93685885,0,17.76354274,0,0,1397.531583,1495.895769,1371.64925,0,0.496294677,20.63303935,0,0,2081.06575,2103.390831,2050.064,0,0,29.24721531,0,0,1105.226167,1124.516994,1085.112833,0,0.481663322,11.46144601,0,0,840.8095833,858.7968672,825.2384167,0,0,6.8541971,0,0,1389.43725,1425.795789,1362.891417,0,0.365651569,22.62426304,0,0
03/30/19,1148.980167,1169.540285,1127.2665,15.53396838,0,0,0,0,920.6505,975.9933787,901.7233333,0,0,1.431361091,0,0,1380.112,1386.193605,1356.795917,0,0,0,0,0,730.1950833,728.3971023,715.1990833,0,0,0,0,0,551.7940833,554.9311389,540.1550833,0,0,0.061285031,0,0,918.7675,922.9026891,899.51,0,0,0,0,0
03/31/19,823.1833333,971.3900745,808.0004167,11.41264639,0,0,0,0,682.01625,787.2086047,667.443,0,0,4.898207607,0,0,973.2205,1118.507789,956.0576667,0,0,0.077401921,0,0,516.54525,593.9900966,505.8195833,0,0.439639793,0.451403688,0,0,392.3695833,450.519718,384.4284167,0,0,1.117800173,0,0,648.3458333,755.5126767,635.10875,0,0,1.078825364,0,0
04/01/19,1145.51925,1149.850869,1123.396583,16.28872319,0,0,4.464655735,0.389749516,931.7165833,947.1552706,912.243,2.083986859,0,0.626799717,0,0,1379.2995,1353.295508,1354.82375,0,0,0,0,0,726.4835833,709.673636,710.9645,0,0,0.107586834,0.358275731,0.049316425,558.8864167,546.0160366,547.1885833,0,0,0.311868304,0,0,918.4901667,899.6516642,898.8640833,0,0,0,1.023527657,0.111435886
04/02/19,1284.136583,1298.580354,1259.570083,17.85018017,0,0,0,0,1076.3255,1071.085556,1054.284917,0,0,0,0,0,1525.57225,1517.579385,1499.65,0,0,0,0,0,808.557,805.0200984,792.0163333,0,0,0,0,0,614.0743333,604.4563511,601.5871667,0,0,0.043192456,0,0,1018.080583,1006.363005,996.6005,0,0,0.1448916,0,0
04/03/19,1285.319917,1292.456543,1262.138167,17.5316925,0,0,0,0,1083.24475,1073.221954,1062.124167,0,0,0.646794993,0,0,1538.551583,1520.135795,1513.972917,0,0,0,0,0,815.7416667,803.9724635,799.79675,0,0,0,0,0,617.3144167,609.1098889,605.1640833,0,0,0.013866587,0,0,1028.16775,1019.770872,1007.359333,0,0,0,0,0
04/04/19,2086.9915,2073.690999,2047.850667,31.88630195,0,41.63739064,0,0,1761.444083,1744.08249,1726.854333,0,1.057506963,26.40096416,0,0,2493.690833,2477.482821,2452.162083,0,0,40.14851466,0,0,1316.364083,1284.848584,1290.1,0,1.518487752,26.64509877,0,0,1015.0175,1001.05774,994.1573333,0,0.12143299,6.023323554,0,0,1675.349417,1648.614222,1640.248083,0,0.444843494,27.11572411,0,0
04/05/19,1747.241083,1762.787392,1713.61125,27.5219295,0,36.95361996,0,0,1485.428833,1469.065388,1454.635333,0,0,24.50149829,0,0,2121.129667,2119.974325,2084.724667,0,0,37.03530689,0,0,1102.486667,1087.563295,1079.755833,0,0,20.43436974,0,0,857.6979167,874.1243752,839.7329167,0,0.311834968,3.755004306,0,0,1410.872917,1430.986309,1380.966083,0,1.420057079,34.31615141,0,0
04/06/19,2147.257583,2214.665978,2108.21025,32.92588203,0,65.85449275,0,0,1792.5165,1816.869807,1759.01425,0,2.394991654,42.57605308,0,0,2536.4525,2606.164127,2496.267333,0,0,63.54427585,0,0,1362.198417,1376.742877,1336.228167,0,1.165213227,34.61907955,0,0,1037.072917,1031.126431,1016.888583,0,0,36.32358483,0,0,1737.181833,1714.143133,1701.917417,0,1.634522891,41.87047077,0,0
04/07/19,2313.345,2308.805738,2271.725583,35.78274582,0,53.60019027,0,0,1948.027833,1930.192203,1911.05275,0,0.227163032,34.60743026,0,0,2762.5545,2722.885833,2719.807917,0,0,57.58784578,0,0,1461.401917,1439.089762,1433.572417,0,0.323564117,32.16238651,0,0,1114.35975,1089.962084,1092.874083,0,0,28.6939338,0,0,1858.889083,1830.529943,1822.284667,0,1.788449641,36.81406287,0,0
04/08/19,1654.376417,1705.793306,1624.246917,24.40051497,0,15.97830515,0,0,1374.7055,1390.960972,1348.152833,0,0,26.53685599,0,0,1945.0805,1976.196891,1913.967417,0,0,40.32859512,0,0,1041.937167,1056.68427,1021.968917,0,0,12.98932597,0,0,781.252,779.1708379,766.2715,0,0.331746594,18.86505901,0,0,1302.469417,1300.412504,1276.62275,0,0.603369552,34.5008873,0,0
04/09/19,1534.872833,1556.024213,1505.362833,23.01820897,0,16.22618998,0,0,1285.968167,1293.707166,1259.298,0,1.466272571,17.52221541,0,0,1829.466667,1832.864117,1798.178083,0,0,12.62449009,0,0,964.8681667,962.7123867,945.0900833,0,0.428876813,13.2817619,0,0,727.6673333,733.7540715,711.926,0,0,11.40791383,0,0,1209.752083,1213.738277,1183.63675,0,0,28.33688682,0,0
04/10/19,1354.39425,1387.741823,1328.214667,19.58114993,0,3.952524318,0,0,1126.52475,1132.398394,1102.643833,0,0.688599833,5.526955828,0,0,1595.586667,1597.7688,1567.481083,0,0,12.17878738,0,0,852.92475,858.5196745,835.2449167,0,0.08496985,3.043175244,0,0,650.92325,641.9897495,637.5978333,0,0,0,0,0,1077.55025,1062.581271,1054.101917,0,0.30639549,22.16377531,0,0
04/11/19,814.6881667,828.7134401,798.83175,11.28370838,0,0,0,0,685.8036667,684.8472505,670.7295833,0,0,0.563709048,0,0,975.7093333,976.9961591,957.6403333,0,0,0,0,0,515.7838333,511.0942496,504.51825,0.015386021,0,0.438744174,0,0,398.1453333,395.6092289,389.3024167,0,0,0.391050167,0,0,652.9376667,650.8382388,638.7631667,0,0,0,0,0
